以下是严格按照你上传的数据整理的**所有响应式框架的性能数据**，**不添加任何结论或建议**，仅按原始数据格式呈现：

---

### **@type-dom/signals**
| benchmark            | avg               | min               | p75               | p99               | max               |
|----------------------|-------------------|-------------------|-------------------|-------------------|-------------------|
| propagate: 1 * 1     | `1.75 µs/iter`    | `1.56 µs`         | `1.71 µs`         | `2.55 µs`         | `2.57 µs`         |
| propagate: 1 * 10    | `7.05 µs/iter`    | `6.74 µs`         | `7.19 µs`         | `7.38 µs`         | `7.41 µs`         |
| propagate: 1 * 100   | `63.14 µs/iter`   | `59.20 µs`        | `63.11 µs`        | `67.03 µs`        | `70.70 µs`        |
| propagate: 10 * 1    | `12.84 µs/iter`   | `12.41 µs`        | `12.72 µs`        | `13.65 µs`        | `13.86 µs`        |
| propagate: 10 * 10   | `69.21 µs/iter`   | `65.46 µs`        | `71.02 µs`        | `72.17 µs`        | `76.78 µs`        |
| propagate: 10 * 100  | `645.80 µs/iter`  | `573.50 µs`       | `608.20 µs`       | `1.04 ms`         | `1.13 ms`         |
| propagate: 100 * 1   | `123.84 µs/iter`  | `114.40 µs`       | `121.30 µs`       | `202.50 µs`       | `477.90 µs`       |
| propagate: 100 * 10  | `688.58 µs/iter`  | `632.30 µs`       | `664.90 µs`       | `1.08 ms`         | `1.15 ms`         |
| propagate: 100 * 100 | `6.58 ms/iter`    | `5.79 ms`         | `7.04 ms`         | `8.68 ms`         | `9.25 ms`         |

---

### **Alien Signals**
| benchmark            | avg               | min               | p75               | p99               | max               |
|----------------------|-------------------|-------------------|-------------------|-------------------|-------------------|
| propagate: 1 * 1     | `1.62 µs/iter`    | `1.44 µs`         | `1.55 µs`         | `2.42 µs`         | `2.43 µs`         |
| propagate: 1 * 10    | `6.67 µs/iter`    | `6.23 µs`         | `6.60 µs`         | `7.76 µs`         | `8.59 µs`         |
| propagate: 1 * 100   | `66.66 µs/iter`   | `52.10 µs`        | `86.70 µs`        | `104.70 µs`       | `274.90 µs`       |
| propagate: 10 * 1    | `13.01 µs/iter`   | `11.64 µs`        | `13.76 µs`        | `14.03 µs`        | `15.87 µs`        |
| propagate: 10 * 10   | `64.16 µs/iter`   | `60.69 µs`        | `65.25 µs`        | `67.33 µs`        | `70.45 µs`        |
| propagate: 10 * 100  | `553.07 µs/iter`  | `496.40 µs`       | `534.40 µs`       | `864.60 µs`       | `2.15 ms`         |
